logread -f
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum 0c3f992f77cb0a59e58b8682a9be900a is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum d8e3fa439df440ce87bac2d0dafbb157 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum b2772863e592897fee2598a53df5e3b7 is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_RemoveUnusedApps() 1081 | App with MD5 sum 9fcf80e3c45c6179e552cb3dfb54279e is still needed.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | updateUnpack.c JsonDone() 895 | App with MD5 sum aa70341eb3b3bb27eb88cb8fd02195e1 being unpacked.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | updateUnpack.c CopyBytesToPipeline() 563 | Payload copied: 3971/24211
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | updateUnpack.c CopyBytesToPipeline() 563 | Payload copied: 8067/24211
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | updateUnpack.c CopyBytesToPipeline() 563 | Payload copied: 12163/24211
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | updateUnpack.c CopyBytesToPipeline() 563 | Payload copied: 16259/24211
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | updateUnpack.c CopyBytesToPipeline() 563 | Payload copied: 20355/24211
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | updateUnpack.c CopyBytesToPipeline() 563 | Payload copied: 24211/24211
